id,atlas_id,name,liaison,notes
syn20834712,HTA1,PILOT - HTAPP,Vesteinn,Notes
syn23511984,HTA2,PILOT - PCAPP,Ethan,Notes
syn22124336,HTA3,HTAN BU,Ethan,Notes
syn22776798,HTA4,HTAN CHOP,Ino,Notes
syn23511954,HTA5,HTAN DFCI,Ethan,Notes
syn23511961,HTA6,HTAN Duke,Ino,Notes
syn22123910,HTA7,HTAN HMS,Milen,Notes
syn23448901,HTA8,HTAN MSK,Ino,Notes
syn22093319,HTA9,HTAN OHSU,Milen,Notes
syn23511964,HTA10,HTAN Stanford,Milen,Notes
syn21050481,HTA11,HTAN Vanderbilt,Vesteinn,Notes
syn22255320,HTA12,HTAN WUSTL,Vesteinn,Notes
syn25555889,HTA15,HTAN SRRS,Milen,Notes
